generation, id, fitness, candidate
0, 0, 0.492291616353, 221.72626266441588 0.95319131843636 0.015617608180315845 12.886476780224585
0, 1, 0.635333686364, 296.8514768827466 0.6384479661982766 0.05026112662738063 17.686334809667095
0, 2, 0.702783221128, 305.0352637476965 1.1784243912610997 0.009613828331493091 14.648021878262066
0, 3, 0.706457399347, 171.91970511759612 1.220558796793279 0.013522230971345906 6.228441847649617
0, 4, 0.740521667909, 336.3950913304981 0.14652455107595638 0.04846705432912934 30.598915621541106
0, 5, 0.742418429832, 292.87188835828954 0.9965373255755691 0.03980099445784621 16.539447028092944
0, 6, 0.753845192439, 250.86609466221003 0.5651764413405334 0.03500835252624623 17.450798949928977
0, 7, 0.769333037042, 289.0093574238812 0.4228703420869714 0.046349042520515665 26.57856784625358
0, 8, 0.777663142592, 277.33456310559893 0.722204084223311 0.0492944515686526 21.51026384519855
0, 9, 0.791406765053, 325.0397741929245 0.4021695617307126 0.08704312224537203 25.576623158910458
0, 10, 0.811850948483, 317.99500363023924 1.0625247578688137 0.028739670097627335 17.834719058381644
0, 11, 0.814579303744, 238.1224747610625 1.0121252884045089 0.09930499804430923 9.570127922611537
0, 12, 0.822529504265, 275.73714339286005 0.7561931417902585 0.051441161579944744 21.4178356338374
0, 13, 0.823312113838, 278.3809032356775 0.22990854122122642 0.05466501978976465 28.062926987615146
0, 14, 0.82384267542, 233.05490681895145 1.2635225485118 0.08895256850755329 8.240400973761975
0, 15, 0.8287425542, 250.56079853192784 1.399218828012804 0.050047655926974494 2.3262074256584198
0, 16, 0.8347929818, 254.34172511280087 1.5108669952800742 0.05370582251546159 3.5495348793165684
0, 17, 0.856205455504, 266.98354317882047 0.18610187962314215 0.0761476978610134 27.041750518108923
0, 18, 0.862704146403, 198.62614014990157 0.681276920820854 0.0478151091254331 15.73406224364136
0, 19, 0.869756280609, 216.50769405122554 0.956930161397619 0.022673808005823207 7.982802794330318
0, 20, 0.878128439499, 348.85918515116214 1.062411956873682 0.052733209005708076 8.365621214140532
0, 21, 0.878792982798, 148.88438687500565 1.483336735686524 0.015663839458804164 2.855288958318835
0, 22, 0.890510556604, 318.72011017872575 1.1024683283337746 0.09823583264266675 7.808211238631161
0, 23, 0.893144234436, 222.05489313583604 1.1446924725567065 0.057549653614875566 13.669390440351023
0, 24, 0.915336232417, 286.8481451790251 1.402563932190396 0.09172452499752742 7.440094205524176
0, 25, 0.931219464818, 230.83786568127897 1.4362746535280337 0.000841255270738106 24.357697798298062
0, 26, 0.936137017776, 273.86785464601616 0.26228407549891275 0.06779436381291051 29.798027049140327
0, 27, 0.936468990433, 153.13603264188507 1.4250391022411473 0.00028892724155497044 36.05028552491744
0, 28, 0.942263569225, 230.1523667872577 1.289467013463348 0.050448649000175885 1.6647475496410247
0, 29, 0.950233413434, 209.20820838682974 0.6760224023037439 0.04464557168070008 13.795470726630764
0, 30, 0.951848696783, 228.57438408503953 0.8243751177102229 0.09243489069751774 19.2614991200834
0, 31, 0.957159790626, 244.70422229612322 0.4675959330788523 0.08133162041139927 25.80853783531402
0, 32, 0.959490053232, 261.52807694275486 1.0046389151822084 0.02209358034184744 22.933019263379546
0, 33, 0.962830597212, 276.0371188470924 1.6885291439455445 0.06226551734008815 2.816921152577451
0, 34, 0.970611350929, 185.410838147489 0.6558965428233797 0.06483602880445703 16.30256951259767
0, 35, 0.976119603497, 248.8738710087984 0.8750339271235559 0.0839718355912568 19.638941809426676
0, 36, 0.989636900263, 309.74588266273565 0.9990603007644591 0.05032261847704072 20.024916108960433
0, 37, 0.989638229933, 147.3015018499435 1.7588991175693753 0.0007034181050440181 6.396714520541139
0, 38, 1.0393583167, 255.97534961352207 0.3547285265139979 0.025542651898044267 27.195079617474033
0, 39, 1.04154055675, 326.06891210321635 0.9304671539379257 0.010771907435896323 26.504262394931025
0, 40, 1.04706185411, 325.0223000187504 1.7093592851421435 0.020797368718871546 5.605139384331405
0, 41, 1.05026843648, 204.56437379291668 0.9572859328129482 0.07944043785015314 18.17802738215362
0, 42, 1.06676369466, 180.57235415438987 1.8721136197408486 0.09949801647161044 1.3155876267372912
